Nom_de_la_piece;Reference_AP;Angle1;Angle2;percage;longueur;Qty.
A2;Tube carré 25 x 2;;;;610;4
A1;Tube carré 25 x 2;;;;2285;2
A3;fer rond Ø10;;;;2140;2
A4;fer rond Ø10;;;;90;2
A5;Tube carré 25 x 2;;;;258.5;2
A6;Tube carré 25 x 2;;;;420;1
A7;Tube carré 25 x 2;;;;1960;2
A8;Tube carré 25 x 2;;;;560;1
A9;Tube carré 25 x 2;;;;215;2
A12;Tube carré 25 x 2;;;;400;4
A13;Tube carré 25 x 2;;;;450;4
A14;Tube carré 25 x 2;;;;788;4
A11;fer U 30 x 15 x 4;;;;46;2
A10;fer rond Ø25;;;;150;2
roue;Roue increvable Ø389 Øaxe25 L 82;;;;;2
A15;Tube carré 25 x 2;;;;462;4
A16;Tube carré 30 x 2;;;;50;2
BB1;Tube carré 25 x 2;;;;685;2
BB3;Tube carré 25 x 2;;;;610;1
BB2;Tube carré 25 x 2;;;;560;3
A17;Tube rond 30 x 2;;;;300;2
A18;Tube carré 25 x 2;;;;142;4
